터미널,출국장,게이트,소요시간(분)
T1,2번,1,7
T1,2번,2,7
T1,2번,3,7
T1,2번,5,6
T1,2번,6,7
T1,2번,7,7
T1,2번,8,7
T1,2번,9,6
T1,2번,10,5
T1,2번,11,4
T1,2번,12,3
T1,2번,14,4
T1,2번,15,5
T1,2번,16,6
T1,2번,17,7
T1,2번,18,7
T1,2번,19,7
T1,2번,20,7
T1,2번,21,7
T1,2번,22,6
T1,2번,23,5
T1,2번,24,4
T1,2번,25,3
T1,2번,26,3
T1,2번,27,3
T1,3번,28,3
T1,3번,29,3
T1,3번,30,3
T1,3번,31,4
T1,3번,32,5
T1,3번,33,6
T1,3번,34,7
T1,3번,35,7
T1,3번,36,7
T1,3번,37,7
T1,3번,38,7
T1,3번,39,6
T1,3번,40,5
T1,3번,41,4
T1,3번,42,4
T1,3번,43,5
T1,3번,45,6
T1,3번,46,6
T1,3번,47,7
T1,3번,48,7
T1,3번,49,7
T1,3번,50,7
T2,1번,230,6
T2,1번,231,6
T2,1번,232,5
T2,1번,233,6
T2,1번,234,7
T2,1번,235,7
T2,1번,236,7
T2,1번,237,7
T2,1번,238,7
T2,1번,239,7
T2,1번,240,7
T2,1번,241,7
T2,1번,242,7
T2,1번,243,7
T2,1번,245,7
T2,1번,246,6
T2,1번,247,5
T2,1번,248,4
T2,1번,249,2
T2,1번,250,2
T2,2번,251,2
T2,2번,252,2
T2,2번,253,4
T2,2번,254,5
T2,2번,255,6
T2,2번,256,7
T2,2번,257,7
T2,2번,258,7
T2,2번,259,7
T2,2번,260,7
T2,2번,261,7
T2,2번,262,7
T2,2번,263,7
T2,2번,264,7
T2,2번,265,6
T2,2번,266,6
T2,2번,267,5
T2,2번,268,5
T2,2번,269,5
T2,2번,270,5
탑승동,T1 2번,101,19
탑승동,T1 2번,102,19
탑승동,T1 2번,103,19
탑승동,T1 2번,104,19
탑승동,T1 2번,105,19
탑승동,T1 2번,106,19
탑승동,T1 2번,107,18
탑승동,T1 2번,108,18
탑승동,T1 2번,109,16
탑승동,T1 2번,110,16
탑승동,T1 2번,111,14
탑승동,T1 2번,112,14
탑승동,T1 2번,113,13
탑승동,T1 2번,114,13
탑승동,T1 2번,115,12
탑승동,T1 2번,117,12
탑승동,T1 3번,118,12
탑승동,T1 3번,119,12
탑승동,T1 3번,121,13
탑승동,T1 3번,122,13
탑승동,T1 3번,123,14
탑승동,T1 3번,124,14
탑승동,T1 3번,125,16
탑승동,T1 3번,126,16
탑승동,T1 3번,127,18
탑승동,T1 3번,128,18
탑승동,T1 3번,129,19
탑승동,T1 3번,130,19
탑승동,T1 3번,131,19
탑승동,T1 3번,132,19
